symbol,passed,failed,unknown,conditions_met,total_conditions,passes_screen,score
JAYKAY,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']",['roce_decent'],[],11,12,False,67
JAYNECOIND,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'roce_decent']",['current_ratio_healthy'],[],11,12,False,66
JAYSREETEA,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt']","['net_profit_positive', 'yoy_profit_not_declining', 'current_ratio_healthy', 'roce_decent']",[],8,12,False,46
JAYSYN,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']",['roce_decent'],[],11,12,False,73
JAYSYNTH,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",['yoy_profit_not_declining'],[],11,12,False,72
JAYTEX,"['sales_qtr_positive', 'yoy_sales_growth']","['pe_positive', 'eps_positive', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],2,12,False,13
JAYUSH,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'roce_decent']",['current_ratio_healthy'],[],11,12,False,70
JBCHEPHARM,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,98
JBFIND,"['sales_qtr_positive', 'yoy_profit_not_declining', 'low_pledging', 'promo_hold_stable']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'net_profit_positive', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],4,12,False,20
JBMA,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'current_ratio_healthy', 'roce_decent']",['low_debt'],[],11,12,False,70
